No_;Anchura;Galga;Se fabrica;No_ Mezcla Operativa;Abrefacil;Anchura Bobina (mm);Ancho Total Extrusión;Tratado;Tipo
2010828;0;200;1;;0;1200;0;0;BOB LAMI
2010829;0;80;1;;0;1110;0;0;BOB LAMI
2010830;0;200;1;;0;1110;0;0;BOB LAMI
2010831;0;80;1;;0;1100;0;0;BOB LAMI
2010832;0;240;1;;0;1100;0;0;BOB LAMI
2010833;0;100;1;;0;1060;0;0;BOB LAMI
2010834;0;300;1;;0;1060;0;0;BOB LAMI
2010835;0;120;1;;0;816;0;0;BOB LAMI
2010836;0;200;1;;0;816;0;0;BOB LAMI
2010837;0;80;1;;0;1050;0;0;BOB LAMI
2010838;0;260;1;;0;1050;0;0;BOB LAMI
2010839;0;80;1;;0;820;0;0;BOB LAMI
2010840;0;208;1;;0;820;0;0;BOB LAMI
2010841;0;288;1;;0;820;0;0;BOB LAMI
2010842;0;140;1;MO-100141;0;1110;1110;0;BOB LAMI
2010843;0;280;1;;0;1110;0;0;BOB LAMI
2010844;0;100;1;;0;1060;0;0;BOB LAMI
2010845;0;380;1;;0;1060;0;0;BOB LAMI
2010846;0;56;1;MO-100999;0;1360;1360;0;BOB TUBO
2010847;0;56;1;MO-100999;0;1360;1360;0;BOB TUBO
2010848;0;56;1;MO-100999;0;1360;1360;0;BOB TUBO
2010849;0;80;0;MO-100999;0;1194;1194;0;OPP TP
2010850;0;120;1;MO-100141;0;1195;1195;0;BOB LAMI
2010851;0;80;0;MO-100999;0;975;975;0;OPP TP
2010852;0;120;1;MO-100141;0;975;975;0;BOB LAMI
2010853;0;160;1;MO-100141;0;910;910;0;BOB LAMI
2010854;0;200;1;MO-100162;0;1200;1200;0;BOB TUBO
2010855;0;80;1;;0;1110;0;0;BOB LAMI
2010856;0;200;1;;0;1110;0;0;BOB LAMI
2010857;0;180;0;MO-100999;0;490;490;0;CPP TP
2010858;0;80;1;;0;1110;0;0;BOB LAMI
2010859;0;240;1;;0;1110;0;0;BOB LAMI
2010860;0;80;1;;0;910;0;0;BOB LAMI
2010861;0;240;1;;0;910;0;0;BOB LAMI
2010862;0;80;1;;0;1194;0;0;BOB LAMI
2010863;0;200;1;;0;1194;0;0;BOB LAMI
2010864;0;80;1;;0;975;0;0;BOB LAMI
2010865;0;200;1;;0;975;0;0;BOB LAMI
2010866;0;80;1;;0;1110;0;0;BOB LAMI
2010867;0;240;1;;0;1110;0;0;BOB LAMI
2010868;0;80;1;;0;470;0;0;BOB LAMI
2010869;0;240;1;;0;470;0;0;BOB LAMI
2010870;0;80;1;;0;470;0;0;BOB LAMI
2010871;0;240;1;;0;470;0;0;BOB LAMI
2010873;0;80;1;;0;470;0;0;BOB LAMI
2010874;0;240;1;;0;470;0;0;BOB LAMI
2010875;0;80;1;;0;470;0;0;BOB LAMI
2010876;0;240;1;;0;470;0;0;BOB LAMI
2010877;0;120;1;MO-100141;0;740;1480;0;BOB LAMI
2010878;0;80;1;;0;950;0;0;BOB LAMI
2010879;0;160;1;;0;950;0;0;BOB LAMI
2010880;72;80;1;MO-100141;0;720;1440;0;LAMI LAMI
2010881;0;75;1;MO-100008;0;640;1280;0;BOB SETUBO
2010882;0;80;1;;0;870;0;0;BOB LAMI
2010883;0;200;1;;0;870;0;0;BOB LAMI
2010884;0;90;1;MO-100008;1;950;1900;0;BOB SETUBO
2010885;0;85;1;MO-100008;1;1040;2080;0;BOB SETUBO
2010886;0;85;1;MO-100008;1;1040;2080;0;BOB SETUBO
2010887;0;100;1;MO-100173;1;1040;1040;0;BOB SETUBO
2010888;92,5;520;1;MO-100141;0;925;925;0;LAMI LAMI
2010889;82,5;520;1;MO-100141;0;825;825;0;LAMI LAMI
2010890;0;80;1;;0;950;0;0;BOB LAMI
2010891;0;160;1;;0;950;0;0;BOB LAMI
2010892;0;80;1;;0;1050;0;0;BOB LAMI
2010893;0;160;1;;0;1050;0;0;BOB LAMI
2010894;0;120;1;;0;870;0;0;BOB LAMI
2010895;0;200;1;;0;870;0;0;BOB LAMI
2010896;0;80;0;MO-100999;0;1110;1110;0;OPP MATE
2010897;0;80;1;;0;1110;0;0;BOB LAMI
2010898;0;240;1;;0;1110;0;0;BOB LAMI
2010899;0;72;1;MO-100999;0;1300;1300;0;BOB LAMI
2010900;0;80;1;;0;870;0;0;BOB LAMI
2010901;0;160;1;;0;870;0;0;BOB LAMI
2010902;0;220;1;;0;1100;0;0;BOB LAMI
2010903;0;220;1;MO-100137;0;680;1360;0;BOB LAMI
2010904;0;220;1;;0;680;0;0;BOB LAMI
2010905;90;200;1;MO-100141;0;900;900;0;BOB LAMI
2010906;90;320;1;MO-100141;0;900;900;0;BOB LAMI
2010908;0;100;0;MO-100999;0;1065;1065;0;OPP TP
2010909;0;100;1;MO-100125;0;1065;1065;0;BOB LAMI
2010910;0;200;1;;0;1065;0;0;BOB LAMI
2010911;0;120;1;MO-100056;0;2300;2300;0;BOB TUBO
2010912;0;100;1;;0;910;0;0;BOB LAMI
2010913;0;200;1;;0;910;0;0;BOB LAMI
2010914;0;80;0;MO-100999;0;1145;1145;0;OPP MATE
2010915;0;65;1;MO-100008;0;595;1190;0;BOB SETUBO
2010916;0;100;1;MO-100999;0;1040;1040;0;BOB SETUBO
2010917;0;100;1;MO-100161;0;1040;1040;0;BOB SETUBO
2010918;0;100;1;MO-100161;0;1040;1040;0;BOB SETUBO
2010919;0;100;1;MO-100999;0;1040;1040;0;BOB SETUBO
2010921;0;100;1;MO-100999;0;1040;1040;0;BOB SETUBO
2010923;0;56;1;MO-100999;0;1360;1360;0;BOB TUBO
2010924;0;90;1;MO-100999;0;1200;1200;0;BOB TUBO
2010925;0;80;1;MO-100125;0;1130;1130;0;BOB LAMI
2010926;0;360;1;;0;1130;0;0;BOB LAMI
2010927;0;100;1;MO-100999;0;1040;1040;0;BOB SETUBO
2010928;0;90;1;MO-100210;0;1200;1200;0;BOB TUBO
2010929;0;80;0;MO-100999;0;975;975;0;OPP METAL
2010930;0;120;1;;0;975;0;0;BOB LAMI
2010931;0;200;1;;0;975;0;0;BOB LAMI
2010932;0;80;0;MO-100999;0;975;975;0;OPP METAL
2010933;0;120;1;;0;975;0;0;BOB LAMI
2010934;0;200;1;;0;975;0;0;BOB LAMI
2010935;0;120;1;;0;975;0;0;BOB LAMI
2010936;0;200;1;;0;975;0;0;BOB LAMI
2010937;0;120;1;;0;975;0;0;BOB LAMI
2010938;0;200;1;;0;975;0;0;BOB LAMI
2010939;82,5;400;1;MO-100141;0;825;825;0;LAMI LAMI
2010940;0;200;1;;0;970;0;0;BOB LAMI
2010941;0;120;1;;0;975;0;0;BOB LAMI
2010942;0;200;1;;0;975;0;0;BOB LAMI
2010943;0;280;1;MO-100125;0;1130;1130;0;BOB LAMI
2010944;0;320;1;MO-100125;0;1130;1130;0;BOB LAMI
2010945;0;360;1;;0;1130;0;0;BOB LAMI
2010946;0;400;1;;0;1130;0;0;BOB LAMI
2010947;122;560;1;MO-100141;0;1220;1220;0;BOB LAMI
2010948;0;80;1;;0;1110;0;0;BOB LAMI
2010949;0;240;1;;0;1110;0;0;BOB LAMI
2010950;0;80;1;;0;870;0;0;BOB LAMI
2010951;0;160;1;;0;870;0;0;BOB LAMI
2010952;0;80;0;MO-100999;0;1210;1210;0;OPP TP
2010953;0;200;1;MO-100125;0;1210;1210;0;BOB LAMI
2010954;0;80;1;;0;880;0;0;BOB LAMI
2010955;0;300;1;;0;880;0;0;BOB LAMI
2010956;0;120;0;MO-100999;0;650;650;0;OPP MATE
2010957;0;320;1;MO-100141;0;650;1300;0;LAMI LAMI
2010958;0;120;1;;0;650;0;0;BOB LAMI
2010959;0;440;1;;0;650;0;0;BOB LAMI
2010960;72;280;1;MO-100141;0;720;1440;0;LAMI LAMI
2010961;0;48;0;MO-100999;0;940;940;0;PET
2010962;0;240;1;MO-100141;0;940;940;0;BOB LAMI
2010963;0;48;1;;0;940;0;0;BOB LAMI
2010964;0;288;1;;0;940;0;0;BOB LAMI
2010965;0;100;1;MO-100125;0;1020;1020;0;BOB LAMI
2010966;0;100;0;MO-100999;0;1020;1020;0;OPP TP
2010967;0;100;0;MO-100999;0;1080;1080;0;OPP TP
2010968;0;100;1;MO-100125;0;1080;1080;0;BOB LAMI
2010969;0;72;1;MO-100049;0;855;855;0;BOB TUBO
2010970;0;220;1;MO-100137;0;680;1360;0;BOB LAMI
2010971;0;80;1;MO-100999;0;640;1280;0;BOB SETUBO
2010972;0;80;1;MO-100999;0;640;1280;0;BOB SETUBO
2010973;0;200;1;;0;1000;0;0;BOB LAMI
2010974;0;60;1;MO-100999;0;600;1200;0;BOB TUBO
2010975;0;140;1;MO-100999;0;1470;1470;0;BOB TUBO
2010976;0;44;1;MO-100999;0;810;1620;0;BOB TUBO
2010977;0;60;1;MO-100163;0;1200;1200;0;BOB TUBO
2010978;0;50;1;MO-100163;0;1200;1200;0;BOB TUBO
2010979;0;60;1;MO-100999;0;900;900;0;BOB TUBO
2010980;0;80;1;MO-100999;0;800;800;0;BOB TUBO
2010981;0;48;0;MO-100999;0;980;980;0;PET
2010982;0;140;1;;0;1140;0;0;BOB LAMI
2010983;0;280;1;;0;1140;0;0;BOB LAMI
2010984;0;160;1;;0;950;0;0;BOB LAMI
2010985;0;320;1;;0;950;0;0;BOB LAMI
2010986;0;44;1;MO-100999;0;1020;2040;0;BOB TUBO
2010987;0;80;1;;0;1110;0;0;BOB LAMI
2010988;0;240;1;;0;1110;0;0;BOB LAMI
2010989;0;80;1;;0;880;0;0;BOB LAMI
2010990;0;240;1;;0;880;0;0;BOB LAMI
2010991;0;320;1;;0;880;0;0;BOB LAMI
2010992;0;80;1;;0;880;0;0;BOB LAMI
2010993;0;240;1;;0;880;0;0;BOB LAMI
2010994;0;320;1;;0;880;0;0;BOB LAMI
2010995;0;200;1;MO-100125;0;680;1360;0;BOB LAMI
2010996;0;80;1;MO-100999;0;680;1360;0;BOB LAMI
2010997;0;80;1;;0;680;0;0;BOB LAMI
2010998;0;280;1;;0;680;0;0;BOB LAMI
2010999;0;80;1;MO-100999;0;1110;1110;0;BOB LAMI
2011000;0;80;1;;0;1110;0;0;BOB LAMI
2011001;0;240;1;;0;1110;0;0;BOB LAMI
2011002;0;100;1;MO-100999;0;1110;1110;0;BOB LAMI
2011003;0;120;1;MO-100125;0;1110;1110;0;BOB LAMI
2011004;0;100;1;;0;1110;0;0;BOB LAMI
2011005;0;220;1;;0;1110;0;0;BOB LAMI
2011006;0;80;1;MO-100999;0;1110;1110;0;BOB LAMI
2011007;0;160;1;MO-100125;0;1110;1110;0;BOB LAMI
2011008;0;80;1;;0;1110;0;0;BOB LAMI
2011009;0;240;1;;0;1110;0;0;BOB LAMI
2011010;0;63;1;MO-100999;0;1200;1200;0;BOB TUBO
2011011;72;200;1;MO-100141;0;720;1440;0;LAMI LAMI
2011012;113;260;1;MO-100141;0;1130;1130;0;LAMI LAMI
2011013;0;180;0;MO-100999;0;870;870;0;CPP TP
2011014;0;120;1;;0;870;0;0;BOB LAMI
2011015;0;300;1;;0;870;0;0;BOB LAMI
2011016;0;100;1;MO-100999;0;1260;1260;0;BOB TUBO
2011017;0;200;1;MO-100999;0;1260;1260;0;BOB TUBO
2011018;110;200;1;MO-100162;0;1100;1100;0;BOBINAS PE
2011019;132;200;1;MO-100162;0;1320;1320;0;BOB TUBO
2011020;102;100;1;MO-100022;0;1020;1020;0;BOB TUBO
2011021;0;100;1;MO-100999;0;1300;1300;0;BOB LAMI
2011022;0;80;1;MO-100999;0;1300;1300;0;BOB LAMI
2011023;0;80;1;;0;970;0;0;BOB LAMI
2011024;0;240;1;;0;970;0;0;BOB LAMI
2011025;0;80;1;;0;970;0;0;BOB LAMI
2011026;0;240;1;;0;970;0;0;BOB LAMI
2011027;0;80;1;;0;970;0;0;BOB LAMI
2011028;0;240;1;;0;970;0;0;BOB LAMI
2011029;0;100;1;;0;1130;0;0;BOB LAMI
201103;0;0;0;;0;0;0;0;
2011030;0;164;1;;0;1130;0;0;BOB LAMI
2011031;0;80;1;MO-100999;0;1200;1200;0;BOB LAMI
2011032;0;100;1;MO-100999;0;1200;1200;0;BOB LAMI
2011033;0;80;1;MO-100999;0;1200;1200;0;BOB LAMI
2011034;0;100;1;MO-100999;0;1200;1200;0;BOB LAMI
2011035;0;80;1;MO-100999;0;1200;1200;0;BOB LAMI
2011036;0;100;1;MO-100999;0;1200;1200;0;BOB LAMI
2011037;120;80;1;MO-100167;0;1200;1200;0;BOB LAMI
2011038;0;100;1;MO-100999;0;1200;1200;0;BOB LAMI
2011039;0;80;1;;0;1110;0;0;BOB LAMI
2011040;0;240;1;;0;1110;0;0;BOB LAMI
2011041;0;80;1;;0;1110;0;0;BOB LAMI
2011042;0;240;1;;0;1110;0;0;BOB LAMI
2011043;0;80;1;;0;1110;0;0;BOB LAMI
2011044;0;240;1;;0;1110;0;0;BOB LAMI
2011045;0;60;1;MO-100066;0;1200;1200;0;BOBINAS PE
2011046;0;95;1;MO-100066;0;840;840;0;BOB TUBO
2011047;0;80;1;;0;960;0;0;BOB LAMI
2011048;0;140;1;;0;960;0;0;BOB LAMI
2011049;0;80;1;;0;880;0;0;BOB LAMI
2011050;0;300;1;;0;880;0;0;BOB LAMI
2011052;0;120;1;MO-100999;0;1260;1260;0;BOB TUBO
2011053;0;80;1;;0;610;0;0;BOB LAMI
2011054;0;160;1;;0;610;0;0;BOB LAMI
2011055;0;80;1;;0;880;0;0;BOB LAMI
2011056;0;300;1;;0;880;0;0;BOB LAMI
2011058;0;52;1;MO-100999;0;1360;1360;0;BOB TUBO
2011059;0;44;1;MO-100999;0;900;1800;0;BOB TUBO
2011060;0;50;1;MO-100999;0;600;1200;0;BOB TUBO
2011061;0;50;1;MO-100999;0;900;1800;0;BOB TUBO
2011062;0;100;1;MO-100999;0;1200;1200;0;BOB TUBO
2011063;0;44;1;MO-100999;0;1200;1200;0;BOB TUBO
2011064;62,5;320;1;MO-100141;0;625;1250;0;LAMI LAMI
2011065;0;80;1;;0;790;0;0;BOB LAMI
2011066;0;160;1;;0;790;0;0;BOB LAMI
2011067;102;80;1;MO-100141;0;1020;1020;0;LAMI LAMI
2011068;0;80;1;;0;870;0;0;BOB LAMI
2011069;0;160;1;;0;870;0;0;BOB LAMI
2011070;0;90;1;MO-100163;0;1200;1200;0;BOB TUBO
2011071;0;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011072;0;80;1;MO-100154;0;800;1600;0;BOB TUBO
2011073;0;44;1;MO-100163;0;1200;1200;0;BOB TUBO
2011074;0;80;1;;0;930;0;0;BOB LAMI
2011075;0;160;1;;0;930;0;0;BOB LAMI
2011076;0;160;1;MO-100125;0;670;1340;0;BOB LAMI
2011077;0;120;1;;0;870;0;0;BOB LAMI
2011078;0;200;1;;0;870;0;0;BOB LAMI
2011080;30;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011081;34;100;1;MO-100022;0;1020;1020;0;BOB TUBO
2011082;0;52;1;MO-100999;0;700;700;0;BOB TUBO
2011083;0;52;1;MO-100999;0;1050;1050;0;BOB TUBO
2011084;30;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011085;0;44;1;MO-100163;0;1020;1020;0;BOB TUBO
2011086;0;90;1;MO-100210;0;1320;1320;0;BOB TUBO
2011087;0;95;1;MO-100066;0;1260;1260;0;BOB TUBO
2011088;0;80;1;;0;790;0;0;BOB LAMI
2011089;0;160;1;;0;790;0;0;BOB LAMI
2011090;0;80;1;;0;1230;0;0;BOB LAMI
2011091;0;220;1;;0;1230;0;0;BOB LAMI
2011092;30;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011093;34;100;1;MO-100022;0;1020;1020;0;BOB TUBO
2011094;30;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011095;0;160;1;MO-100141;0;585;1170;0;BOB LAMI
2011096;0;160;1;MO-100141;0;585;1170;0;BOB LAMI
2011097;0;80;0;MO-100999;0;1130;1130;0;OPP MATE
2011098;0;65;1;MO-100030;0;590;1180;0;BOB SETUBO
2011099;0;75;1;MO-100030;0;840;840;0;BOB SETUBO
2011100;0;160;1;MO-100141;0;1110;1110;0;BOB LAMI
2011101;0;140;1;;0;950;0;0;BOB LAMI
2011102;0;280;1;;0;950;0;0;BOB LAMI
2011103;0;44;1;MO-100163;0;1000;1000;0;BOB TUBO
2011104;0;240;1;;0;1110;0;0;BOB LAMI
2011105;0;152;1;;0;780;0;0;BOB LAMI
2011106;0;300;1;MO-100056;0;750;750;0;BOB TUBO
2011107;0;90;1;MO-100024;0;990;990;0;BOB TUBO
2011108;0;200;1;MO-100162;0;1440;1440;0;BOB TUBO
2011109;0;200;1;MO-100162;0;800;800;0;BOB TUBO
2011110;0;200;1;MO-100162;0;1200;1200;0;BOB TUBO
2011111;0;48;0;MO-100999;0;950;950;0;PET
2011112;0;280;1;MO-100125;0;1130;1130;0;BOB LAMI
2011113;0;240;1;MO-100137;0;1130;1130;0;BOB LAMI
2011114;0;240;1;MO-100137;0;1130;1130;0;BOB LAMI
2011115;0;48;0;MO-100999;0;970;970;0;PET
2011116;0;250;1;MO-100137;0;1100;1100;0;BOB LAMI
2011117;0;80;1;;0;1120;0;0;BOB LAMI
2011118;0;200;1;;0;1120;0;0;BOB LAMI
2011119;0;80;1;;0;1120;0;0;BOB LAMI
2011120;0;200;1;;0;1120;0;0;BOB LAMI
2011121;0;220;1;;0;670;0;0;BOB LAMI
2011124;0;160;1;;0;585;0;0;BOB LAMI
2011125;0;320;1;;0;585;0;0;BOB LAMI
2011126;0;100;1;;0;1060;0;0;BOB LAMI
2011127;0;220;1;;0;1060;0;0;BOB LAMI
2011128;0;220;1;;0;1130;0;0;BOB LAMI
2011129;0;100;1;MO-100999;0;975;975;0;BOB LAMI
2011130;0;100;1;MO-100141;0;975;975;0;BOB LAMI
2011131;0;100;1;;0;975;0;0;BOB LAMI
2011132;0;200;1;;0;975;0;0;BOB LAMI
2011133;0;80;1;;0;1130;0;0;BOB LAMI
2011134;0;360;1;;0;1130;0;0;BOB LAMI
2011135;0;80;1;MO-100002;0;1000;1000;0;BOB TUBO
2011136;0;100;1;MO-100999;0;680;1360;0;BOB LAMI
2011137;0;220;1;MO-100141;0;680;1360;0;LAMI LAMI
2011138;0;100;1;;0;680;0;0;BOB LAMI
2011139;0;320;1;;0;680;0;0;BOB LAMI
2011140;0;48;1;MO-100163;0;700;1400;0;BOB TUBO
2011141;0;80;1;;0;1110;0;0;BOB LAMI
2011142;0;240;1;;0;1110;0;0;BOB LAMI
2011143;107;80;1;MO-100141;0;1070;1070;0;LAMI LAMI
2011144;0;140;1;MO-100141;0;1050;1050;0;BOB LAMI
2011145;0;140;1;MO-100141;0;680;680;0;BOB LAMI
2011146;0;140;1;MO-100141;0;680;680;0;BOB LAMI
2011148;0;200;1;MO-100162;0;1440;1440;0;BOB TUBO
2011149;0;200;1;MO-100162;0;1200;1200;0;BOB TUBO
2011150;0;80;1;;0;1090;0;0;BOB LAMI
2011151;0;200;1;;0;1090;0;0;BOB LAMI
2011152;0;80;0;MO-100999;0;470;470;0;OPP TP
2011153;0;120;1;MO-100125;0;470;940;0;BOB LAMI
2011154;0;200;1;;0;470;0;0;BOB LAMI
2011155;0;200;1;;0;470;0;0;BOB LAMI
2011156;0;80;1;;0;970;0;0;BOB LAMI
2011157;0;240;1;;0;970;0;0;BOB LAMI
2011158;0;80;1;;0;1100;0;0;BOB LAMI
2011159;0;200;1;;0;1100;0;0;BOB LAMI
2011160;0;80;1;;0;1100;0;0;BOB LAMI
2011161;0;200;1;;0;1100;0;0;BOB LAMI
2011162;0;80;1;;0;1120;0;0;BOB LAMI
2011163;0;200;1;;0;1120;0;0;BOB LAMI
2011164;0;48;1;;0;940;0;0;BOB LAMI
2011165;0;288;1;;0;940;0;0;BOB LAMI
2011166;0;48;1;;0;940;0;0;BOB LAMI
2011167;0;288;1;;0;940;0;0;BOB LAMI
2011168;0;48;1;;0;1230;0;0;BOB LAMI
2011169;0;248;1;;0;1230;0;0;BOB LAMI
2011170;0;48;1;;0;1230;0;0;BOB LAMI
2011171;0;248;1;;0;1230;0;0;BOB LAMI
2011172;0;48;1;;0;1230;0;0;BOB LAMI
2011173;0;248;1;;0;1230;0;0;BOB LAMI
2011174;0;48;1;;0;1230;0;0;BOB LAMI
2011175;0;248;1;;0;1230;0;0;BOB LAMI
2011176;48;280;1;MO-100141;0;480;960;0;BOB LAMI
2011177;0;240;1;MO-100141;0;505;1010;0;BOB LAMI
2011178;0;120;1;MO-100125;0;535;1070;0;BOB LAMI
2011179;0;120;1;MO-100141;0;535;1070;0;BOB LAMI
2011180;0;240;1;;0;535;0;0;BOB LAMI
2011181;0;80;1;;0;1110;0;0;BOB LAMI
2011182;0;240;1;;0;1110;0;0;BOB LAMI
2011183;0;140;1;;0;950;0;0;BOB LAMI
2011184;0;280;1;;0;950;0;0;BOB LAMI
2011185;0;152;1;MO-100157;0;1050;1050;0;BOB LAMI
2011186;0;152;1;;0;1050;0;0;BOB LAMI
2011187;0;44;1;MO-100163;0;1100;1100;0;BOB TUBO
2011188;0;50;1;MO-100163;0;900;1800;0;BOB TUBO
2011189;0;65;1;MO-100008;0;595;1190;0;BOB SETUBO
2011190;0;95;1;MO-100004;0;840;840;0;BOB TUBO
2011191;0;120;1;;0;870;0;0;BOB LAMI
2011192;0;200;1;;0;870;0;0;BOB LAMI
2011193;0;80;1;;0;950;0;0;BOB LAMI
2011194;0;280;1;;0;950;0;0;BOB LAMI
2011195;0;80;1;;0;950;0;0;BOB LAMI
2011196;0;280;1;;0;950;0;0;BOB LAMI
2011197;0;152;1;;0;1050;0;0;BOB LAMI
2011198;0;200;1;;0;740;0;0;BOB LAMI
2011199;0;120;1;MO-100999;0;1200;1200;0;BOB LAMI
2011200;0;100;1;MO-100099;0;850;850;0;BOB TUBO
2011201;0;60;1;MO-100099;1;590;1180;0;BOB SETUBO
2011202;0;80;0;MO-100999;0;800;800;0;OPP METAL
2011203;0;72;0;MO-100999;0;800;800;0;OPP METAL
2011204;0;192;1;;0;417;0;0;BOB LAMI
2011205;0;100;1;MO-100141;0;800;800;0;BOB LAMI
2011206;0;180;1;;0;804;0;0;BOB LAMI
2011207;0;260;1;;0;804;0;0;BOB LAMI
2011208;0;140;1;;0;950;0;0;BOB LAMI
2011209;0;280;1;;0;950;0;0;BOB LAMI
2011210;0;140;1;;0;950;0;0;BOB LAMI
2011211;0;280;1;;0;950;0;0;BOB LAMI
2011212;0;120;1;MO-100999;1;1040;2080;0;BOB SETUBO
2011213;0;80;1;;0;1120;0;0;BOB LAMI
2011214;0;200;1;;0;1120;0;0;BOB LAMI
2011215;0;80;1;;0;1130;0;0;BOB LAMI
2011216;0;300;1;;0;1130;0;0;BOB LAMI
2011217;0;140;1;MO-100125;0;950;950;0;BOB LAMI
2011218;0;280;1;;0;950;0;0;BOB LAMI
2011219;0;80;1;MO-100999;0;950;950;0;BOB LAMI
2011220;0;160;1;MO-100125;0;950;950;0;BOB LAMI
2011221;0;240;1;;0;950;0;0;BOB LAMI
2011222;0;80;1;;0;872;0;0;BOB LAMI
2011223;0;140;1;;0;872;0;0;BOB LAMI
2011224;0;80;1;;0;870;0;0;BOB LAMI
2011225;0;140;1;;0;870;0;0;BOB LAMI
2011226;0;150;1;MO-100056;0;960;960;0;BOB TUBO
2011227;24;150;1;MO-100056;0;960;960;0;BOB TUBO
2011228;122,5;400;1;MO-100141;0;1225;1225;0;LAMI LAMI
2011229;122,5;640;1;MO-100141;0;1225;1225;0;LAMI LAMI
2011230;87;640;1;MO-100141;0;870;870;0;LAMI LAMI
2011231;92,5;400;1;MO-100141;0;925;925;0;LAMI LAMI
2011232;0;75;1;MO-100008;0;790;1580;0;BOB SETUBO
2011233;0;60;1;;0;960;0;0;BOB LAMI
2011234;0;140;1;;0;960;0;0;BOB LAMI
2011235;0;60;1;;0;960;0;0;BOB LAMI
2011236;0;140;1;;0;960;0;0;BOB LAMI
2011237;102,5;320;1;MO-100141;0;1025;1025;0;LAMI LAMI
2011238;0;200;0;MO-100999;0;870;870;0;CPP TP
2011239;24;150;1;MO-100056;0;960;960;0;BOB TUBO
2011240;0;120;1;MO-100125;0;910;910;0;BOB LAMI
2011241;0;200;1;MO-100999;0;1260;1260;0;BOB TUBO
2011242;0;200;1;MO-100999;0;1260;1260;0;BOB TUBO
2011243;0;75;1;MO-100008;0;640;1280;0;BOB SETUBO
2011244;0;90;1;MO-100008;0;1040;2080;0;BOB SETUBO
2011245;0;48;1;MO-100149;0;1050;1050;0;BOB TUBO
2011246;0;220;1;MO-100056;0;1000;1000;0;BOB TUBO
2011247;0;80;1;;0;880;0;0;BOB LAMI
2011248;0;208;1;;0;880;0;0;BOB LAMI
2011249;0;288;1;;0;880;0;0;BOB LAMI
2011250;0;200;1;MO-100162;0;700;700;0;BOB TUBO
2011251;0;240;1;;0;1130;0;0;BOB LAMI
2011252;111;240;1;MO-100141;0;1110;1110;0;BOB LAMI
2011253;102;120;1;MO-100141;0;1020;1020;0;BOB LAMI
2011254;0;120;0;MO-100999;0;850;850;0;OPP TP
2011255;17;120;1;MO-100999;0;850;850;0;BOB LAMI
2011256;0;120;0;MO-100999;0;860;860;0;OPP TP
2011257;21,5;120;1;MO-100999;0;860;860;0;BOB LAMI
2011258;0;80;1;;0;1130;0;0;BOB LAMI
2011259;0;300;1;;0;1130;0;0;BOB LAMI
2011260;0;80;1;;0;820;0;0;BOB LAMI
2011261;0;240;1;;0;820;0;0;BOB LAMI
2011262;0;320;1;;0;820;0;0;BOB LAMI
2011263;0;80;1;;0;810;0;0;BOB LAMI
2011264;0;240;1;;0;810;0;0;BOB LAMI
2011265;0;320;1;;0;810;0;0;BOB LAMI
2011266;0;80;0;MO-100999;0;755;755;0;OPP BO
2011267;30;100;1;MO-100056;0;1200;1200;0;BOB TUBO
2011268;0;80;1;;0;880;0;0;BOB LAMI
2011269;0;240;1;;0;880;0;0;BOB LAMI
2011270;0;320;1;;0;880;0;0;BOB LAMI
2011271;0;80;1;;0;1050;0;0;BOB LAMI
2011272;0;160;1;;0;1050;0;0;BOB LAMI
2011275;0;150;1;MO-100165;1;1150;2300;0;BOB SETUBO
2011276;0;120;1;MO-100165;1;1040;2080;0;BOB SETUBO
2011277;0;80;1;;0;700;0;0;BOB LAMI
2011278;0;160;1;;0;700;0;0;BOB LAMI
2011279;66;200;1;MO-100141;0;660;1320;0;LAMI LAMI
2011280;122;200;1;MO-100141;0;1220;1220;0;BOB LAMI
2011281;0;200;1;MO-100162;0;1440;1440;0;BOB TUBO
2011282;0;200;1;MO-100162;0;1200;1200;0;BOB TUBO
2011283;0;90;1;MO-100074;0;640;1280;0;BOB SETUBO
2011284;0;48;0;MO-100999;0;885;885;0;PET
2011285;0;280;1;MO-100141;0;885;885;0;BOB LAMI
2011286;0;48;1;;0;885;0;0;BOB LAMI
2011287;0;328;1;;0;885;0;0;BOB LAMI
2011288;0;280;1;MO-100141;0;810;810;0;BOB LAMI
2011289;0;48;1;;0;810;0;0;BOB LAMI
2011290;0;328;1;;0;810;0;0;BOB LAMI
2011291;0;80;1;;0;1110;0;0;BOB LAMI
2011292;0;240;1;;0;1110;0;0;BOB LAMI
2011293;0;80;1;;0;1110;0;0;BOB LAMI
2011294;0;240;1;;0;1110;0;0;BOB LAMI
2011295;0;80;1;;0;870;0;0;BOB LAMI
2011296;0;160;1;;0;870;0;0;BOB LAMI
2011297;64;80;1;MO-100099;0;640;1280;0;BOB SETUBO
2011298;0;80;1;;0;870;0;0;BOB LAMI
2011299;0;160;1;;0;870;0;0;BOB LAMI
2011300;0;80;1;;0;820;0;0;BOB LAMI
2011301;0;240;1;;0;820;0;0;BOB LAMI
