REFERENCIA,ANCHO,GALGA,TIPO,MEZCLA,TRATAMIENTO,ABREFACIL,FUELLE
2000550,1000,75,BOB TUBO,MO-100002,NO,NO,0
2000551,1000,75,BOB TUBO,MO-100002,NO,NO,0
2000552,1000,75,BOB TUBO,MO-100002,NO,NO,0
2000553,1000,78,BOB TUBO,MO-100002,NO,NO,0
2000554,1000,80,BOB TUBO,MO-100004,NO,NO,0
2000555,1000,80,BOB TUBO,MO-100004,NO,NO,0
2000558,1000,80,BOB TUBO,MO-100004,NO,NO,0
2000559,1000,80,BOB TUBO,MO-100004,NO,NO,0
2000561,1000,84,BOB TUBO,MO-100004,NO,NO,0
2000562,1000,85,BOB TUBO,MO-100004,NO,NO,0
2000563,1000,85,BOB TUBO,MO-100004,NO,NO,0
2000564,1000,88,BOB TUBO,MO-100024,NO,NO,0
2000565,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000566,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000567,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000568,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000572,1000,90,BOB TUBO,MO-100004,NO,NO,0
2000573,1000,95,BOB TUBO,MO-100004,NO,NO,0
2000575,1040,130,BOB TUBO,MO-100004,NO,NO,0
2000577,1050,190,BOB TUBO,MO-100063,NO,NO,0
2000578,1050,33,BOB TUBO,MO-100001,NO,NO,0
2000579,1050,34,BOB TUBO,MO-100001,NO,NO,0
2000580,1050,35,BOB TUBO,MO-100001,NO,NO,0
2000585,1050,35,BOB TUBO,MO-100001,NO,NO,0
2000588,1050,36,BOB TUBO,MO-100001,NO,NO,0
2000589,1050,37,BOB TUBO,MO-100001,NO,NO,0
2000590,1050,38,BOB TUBO,MO-100001,NO,NO,0
2000592,1050,50,BOB TUBO,MO-100003,NO,NO,0
2000593,1050,55,BOB TUBO,MO-100003,NO,NO,0
2000594,1050,60,BOB TUBO,MO-100003,NO,NO,0
2000596,1050,90,BOB TUBO,MO-100004,NO,NO,0
2000597,1050,90,BOB TUBO,MO-100024,NO,NO,0
2000598,1050,95,BOB TUBO,MO-100004,NO,NO,0
2000601,1060,140,BOB TUBO,MO-100004,NO,NO,0
2000602,1060,45,BOB TUBO,MO-100023,NO,NO,220
2000603,1060,50,BOB TUBO,MO-100002,NO,NO,220
2000605,1080,33,BOB TUBO,MO-100001,NO,NO,0
2000606,1080,33,BOB TUBO,MO-100001,NO,NO,0
2000609,1080,37,BOB TUBO,MO-100001,NO,NO,0
2000610,1080,37,BOB TUBO,MO-100001,NO,NO,0
2000614,1080,90,BOB TUBO,MO-100004,NO,NO,0
2000621,1100,35,BOB TUBO,MO-100001,NO,NO,225
2000622,1100,37,BOB TUBO,MO-100001,NO,NO,0
2000623,1100,45,BOB TUBO,MO-100001,NO,NO,0
2000624,1100,55,BOB TUBO,MO-100002,NO,NO,220
2000632,1120,36,BOB TUBO,MO-100001,NO,NO,0
2000633,1120,75,BOB TUBO,MO-100002,NO,NO,190
2000634,1120,80,BOB TUBO,MO-100004,NO,NO,200
2000635,1120,90,BOB TUBO,MO-100004,NO,NO,0
2000636,1130,36,BOB TUBO,MO-100001,NO,NO,0
2000637,1140,140,BOB TUBO,MO-100004,NO,NO,0
2000639,1150,37,BOB TUBO,MO-100001,NO,NO,0
2000640,1150,37,BOB TUBO,MO-100001,NO,NO,0
2000641,1150,40,BOB TUBO,MO-100001,NO,NO,0
2000642,1150,40,BOB TUBO,MO-100001,NO,NO,0
2000643,1150,50,BOB TUBO,MO-100003,NO,NO,0
2000644,1160,34,BOB TUBO,MO-100001,NO,NO,0
2000646,600,100,BOB TUBO,MO-100004,NO,NO,0
2000647,1200,110,BOB TUBO,MO-100004,NO,NO,0
2000648,1200,150,BOB TUBO,MO-100004,NO,NO,0
2000650,1200,33,BOB TUBO,MO-100001,NO,NO,0
2000651,1200,33,BOB TUBO,MO-100001,NO,NO,0
2000652,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000655,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000656,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000660,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000661,1200,35,BOB TUBO,MO-100001,NO,NO,0
2000662,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000663,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000664,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000665,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000666,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000667,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000668,1200,37,BOB TUBO,MO-100001,NO,NO,0
2000669,1200,40,BOB TUBO,MO-100001,NO,NO,0
2000671,1200,45,BOB TUBO,MO-100001,NO,NO,0
2000672,1200,45,BOB TUBO,MO-100001,NO,NO,0
2000673,1200,50,BOB TUBO,MO-100003,NO,NO,0
2000674,1200,50,BOB TUBO,MO-100003,NO,NO,0
2000675,1200,55,BOB TUBO,MO-100003,NO,NO,0
2000676,1200,55,BOB TUBO,MO-100003,NO,NO,0
2000678,1200,60,BOB TUBO,MO-100003,NO,NO,0
2000679,1200,60,BOB TUBO,MO-100002,NO,NO,0
2000680,1200,62,BOB TUBO,MO-100003,NO,NO,0
2000682,1200,65,BOB TUBO,MO-100003,NO,NO,0
2000683,1200,70,BOB TUBO,MO-100003,NO,NO,0
2000689,1200,90,BOB TUBO,MO-100024,NO,NO,0
2000690,1200,95,BOB TUBO,MO-100004,NO,NO,0
2000691,1220,65,BOB TUBO,MO-100003,NO,NO,0
2000692,1220,65,BOB TUBO,MO-100003,NO,NO,0
2000694,1240,90,BOB TUBO,MO-100004,NO,NO,0
2000695,1240,90,BOB TUBO,MO-100004,NO,NO,0
2000696,1250,33,BOB TUBO,MO-100001,NO,NO,0
2000697,1250,33,BOB TUBO,MO-100001,NO,NO,0
2000699,1250,35,BOB TUBO,MO-100001,NO,NO,0
2000702,1250,35,BOB TUBO,MO-100001,NO,NO,0
2000705,1250,35,BOB TUBO,MO-100001,NO,NO,0
2000711,1260,60,BOB TUBO,MO-100002,NO,NO,0
2000713,1260,65,BOB TUBO,MO-100003,NO,NO,0
2000715,1290,65,BOB TUBO,MO-100003,NO,NO,0
2000716,1290,70,BOB TUBO,MO-100003,NO,NO,0
2000720,1350,70,BOB TUBO,MO-100003,NO,NO,0
2000721,1370,34,BOB TUBO,MO-100001,NO,NO,0
2000722,1410,65,BOB TUBO,MO-100003,NO,NO,0
2000725,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000726,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000728,1470,120,BOB TUBO,MO-100004,NO,NO,0
2000729,1500,65,BOB TUBO,MO-100003,NO,NO,0
2000730,1500,70,BOB TUBO,MO-100003,NO,NO,0
2000731,1500,73,BOB TUBO,MO-100003,NO,NO,0
2000732,1500,73,BOB TUBO,MO-100002,NO,NO,0
2000733,1500,75,BOB TUBO,MO-100003,NO,NO,0
2000734,1500,80,BOB TUBO,MO-100004,NO,NO,0
2000735,1720,60,BOB TUBO,MO-100002,NO,NO,0
2000736,1800,60,BOB TUBO,MO-100002,NO,NO,0
2000737,1800,70,BOB TUBO,MO-100003,NO,NO,0
2000740,420,35,BOB TUBO,MO-100001,NO,NO,0
2000741,420,35,BOB TUBO,MO-100001,NO,NO,0
2000742,420,40,BOB SETUBO,MO-100023,NO,NO,0
2000743,420,40,BOB TUBO,MO-100023,NO,NO,0
2000744,420,40,BOB TUBO,MO-100023,NO,NO,0
2000745,440,350,BOB TUBO,MO-100046,NO,NO,0
2000746,450,60,BOB TUBO,MO-100002,NO,NO,0
2000747,450,60,BOB TUBO,MO-100002,NO,NO,0
2000748,490,350,BOB TUBO,MO-100061,NO,NO,0
2000749,500,175,BOB TUBO,MO-100061,NO,NO,0
2000750,500,350,BOB TUBO,MO-100071,NO,NO,0
2000754,600,110,BOB TUBO,MO-100004,NO,NO,0
2000755,600,118,BOB TUBO,MO-100024,NO,NO,0
2000756,600,120,BOB TUBO,MO-100004,NO,NO,0
2000758,600,140,BOB TUBO,MO-100004,NO,NO,0
2000763,600,350,BOB TUBO,MO-100061,NO,NO,0
2000764,600,40,BOB TUBO,MO-100001,NO,NO,0
