MES,REFERENCIA,CANTIDAD
2026-04-01,2019552,38700
2026-04-01,2019553,13860
2026-04-01,2019554,13920
2026-04-01,2019555,34476
2026-04-01,2019556,34500
2026-04-01,2019600,25296
2026-04-01,2019601,25200
2026-04-01,2019602,87312
2026-04-01,2019603,87300
2026-04-01,2019606,9672
2026-04-01,2019624,24684
2026-04-01,2019625,24750
2026-04-01,2019640,204
2026-04-01,2019641,120
2026-04-01,2019651,13056
2026-04-01,2019652,13200
2026-04-01,2019655,3987
2026-04-01,2019658,15708
2026-04-01,2019659,15600
2026-04-01,2019666,39372
2026-04-01,2019667,39450
2026-04-01,2019693,5400
2026-04-01,2019694,5280
2026-04-01,2019723,11220
2026-04-01,2019724,11160
2026-04-01,2019735,17340
2026-04-01,2019736,17280
2026-04-01,2019737,29172
2026-04-01,2019738,29160
2026-04-01,2019744,17340
2026-04-01,2019745,17400
2026-04-01,2019752,6120
2026-04-01,2019753,6000
2026-04-01,2019759,19380
2026-04-01,2019760,19440
2026-04-01,2019764,8364
2026-04-01,2019765,8400
2026-04-01,2019767,16728
2026-04-01,2019768,16800
2026-04-01,2019778,38148
2026-04-01,2019779,38160
2026-04-01,2019780,30600
2026-04-01,2019781,30600
2026-04-01,2019788,57780
2026-04-01,2019789,57720
2026-04-01,2019794,86700
2026-04-01,2019795,86580
2026-04-01,2019800,33048
2026-04-01,2019801,33000
2026-04-01,2019809,5040
2026-04-01,2019810,5160
2026-04-01,2019813,34884
2026-04-01,2019814,34920
2026-04-01,2019815,34680
2026-04-01,2019816,34800
2026-04-01,2019831,8772
2026-04-01,2019832,8850
2026-04-01,2019833,8772
2026-04-01,2019834,8850
2026-04-01,2019835,8772
2026-04-01,2019836,8850
2026-04-01,2019837,14484
2026-04-01,2019838,14580
2026-04-01,2019839,29172
2026-04-01,2019840,29160
2026-04-01,2019843,10488
2026-04-01,2019844,17340
2026-04-01,2019845,17400
2026-04-01,2019850,13860
2026-04-01,2019851,13920
2026-04-01,2019852,81432
2026-04-01,2019859,5304
2026-04-01,2019860,5280
2026-04-01,2019861,8772
2026-04-01,2019862,8850
2026-04-01,2019891,3720
2026-04-01,2019900,240
2026-04-01,2019912,21420
2026-04-01,2019913,21360
2026-04-01,2019914,7296
2026-04-01,2019915,7320
2026-04-01,2019916,428
2026-04-01,2019935,196860
2026-04-01,2019936,196950
2026-05-01,2000027,10904
2026-05-01,2000043,24424
2026-05-01,2000114,7363
2026-05-01,2000979,3000
2026-05-01,2000981,3000
2026-05-01,2001003,30608
2026-05-01,2001121,31581
2026-05-01,2001231,6298
2026-05-01,2001544,1663
2026-05-01,2001545,2234
2026-05-01,2001577,9269
2026-05-01,2001606,1197
2026-05-01,2001619,27229
2026-05-01,2001672,3351
2026-05-01,2001796,18899
2026-05-01,2002020,49552
2026-05-01,2002297,2997
2026-05-01,2002383,2164
2026-05-01,2002424,19746
2026-05-01,2002425,4372
2026-05-01,2002431,5928
2026-05-01,2002442,2250
2026-05-01,2002477,4332
2026-05-01,2002496,3990
2026-05-01,2002556,1587
2026-05-01,2002599,1085
2026-05-01,2003028,449
2026-05-01,2003073,2762
2026-05-01,2003163,520
2026-05-01,2003673,4174
2026-05-01,2004081,1928
2026-05-01,2004225,2420
2026-05-01,2004894,7799
2026-05-01,2004946,20
2026-05-01,2004947,18
2026-05-01,2004959,16
2026-05-01,2005943,169155
2026-05-01,2005962,4126
2026-05-01,2006186,203
2026-05-01,2006205,447
2026-05-01,2006222,820
2026-05-01,2006449,608
2026-05-01,2006450,405
2026-05-01,2006655,2952
2026-05-01,2007253,278
2026-05-01,2009486,1396
2026-05-01,2009532,44188
2026-05-01,2009680,319
2026-05-01,2009880,38400
2026-05-01,2009901,10640
2026-05-01,2009951,642
2026-05-01,2009968,28210
2026-05-01,2010046,8063
2026-05-01,2010124,249
2026-05-01,2010169,317
2026-05-01,2010241,76037
2026-05-01,2010276,81
2026-05-01,2010277,2847
2026-05-01,2010356,1438
2026-05-01,2010360,273
2026-05-01,2010460,249
2026-05-01,2010461,200
2026-05-01,2010465,24
2026-05-01,2010885,5733
2026-05-01,2010886,5926
2026-05-01,2010995,1932
2026-05-01,2011018,150707
2026-05-01,2011020,162
2026-05-01,2011071,113
2026-05-01,2011080,3906
2026-05-01,2011093,2
2026-05-01,2011232,3268
2026-05-01,2011275,4862
2026-05-01,2011276,11238
2026-05-01,2011297,20570
2026-05-01,2011799,31321
2026-05-01,2011827,21776
2026-05-01,2011849,1846170
2026-05-01,2012007,51920
2026-05-01,2012035,244087
2026-05-01,2012104,27848
2026-05-01,2012141,4163
2026-05-01,2012142,43990
2026-05-01,2012143,15942
2026-05-01,2012154,13372
2026-05-01,2012208,43009
2026-05-01,2012226,2200
2026-05-01,2012314,145169
2026-05-01,2012326,3394
2026-05-01,2012338,833
2026-05-01,2012339,166
2026-05-01,2012487,119
2026-05-01,2012496,58986
2026-05-01,2012499,23619
2026-05-01,2012500,21329
2026-05-01,2012505,941
2026-05-01,2012506,699
2026-05-01,2012563,31602
2026-05-01,2012623,19003
2026-05-01,2012687,2200
2026-05-01,2012743,19310
2026-05-01,2012744,9842
2026-05-01,2012746,10924
2026-05-01,2012750,11880
2026-05-01,2012754,467
2026-05-01,2012761,9047
2026-05-01,2012809,5334
2026-05-01,2012841,249
2026-05-01,2012922,39186
2026-05-01,2012923,2733
2026-05-01,2012958,4910
2026-05-01,2012962,12773
2026-05-01,2012964,7567
2026-05-01,2013169,21976
2026-05-01,2013205,17500
2026-05-01,2013228,20808
2026-05-01,2013229,19800
2026-05-01,2013230,1603
2026-05-01,2013241,1452
2026-05-01,2013387,1660
2026-05-01,2013426,1411
2026-05-01,2013427,5008
2026-05-01,2013441,8576
2026-05-01,2013442,1599
2026-05-01,2013448,12721
2026-05-01,2013451,14292
2026-05-01,2013453,9234
2026-05-01,2013640,11352
2026-05-01,2013682,14563
2026-05-01,2013684,5215
2026-05-01,2013686,3779
2026-05-01,2013730,2351
2026-05-01,2013760,3893
2026-05-01,2013803,3146
2026-05-01,2013974,992992
2026-05-01,2013997,413424
2026-05-01,2013998,291974
2026-05-01,2014029,880308
2026-05-01,2014036,6565
2026-05-01,2014110,12541
2026-05-01,2014236,2256
2026-05-01,2014302,5360
2026-05-01,2014439,20808
2026-05-01,2014440,19800
2026-05-01,2014597,3180
2026-05-01,2014606,4857
2026-05-01,2014616,6513
2026-05-01,2014618,4743
2026-05-01,2014620,41412
2026-05-01,2014621,39420
2026-05-01,2014629,5568
2026-05-01,2014630,3644
2026-05-01,2014631,27744
2026-05-01,2014632,26460
2026-05-01,2014633,27744
2026-05-01,2014634,26460
2026-05-01,2014678,6121
2026-05-01,2014699,17165
2026-05-01,2014919,1204
2026-05-01,2014920,6226
2026-05-01,2014970,168530
2026-05-01,2014971,28984
2026-05-01,2015001,2973
2026-05-01,2015002,3934
2026-05-01,2015048,2320
2026-05-01,2015094,3907
2026-05-01,2015095,6284
2026-05-01,2015203,1746
2026-05-01,2015347,5005
2026-05-01,2015541,29043
2026-05-01,2015563,3996
2026-05-01,2015606,836
2026-05-01,2015696,6901
2026-05-01,2015697,6600
2026-05-01,2015746,3182
2026-05-01,2015808,6349
2026-05-01,2015949,418
2026-05-01,2015950,377
2026-05-01,2015976,3352
2026-05-01,2015994,4008
2026-05-01,2015995,3137
2026-05-01,2016024,2558
2026-05-01,2016152,3108
2026-05-01,2016156,5600
2026-05-01,2016158,22506
2026-05-01,2016181,4868
2026-05-01,2016182,5855
2026-05-01,2016185,5895
2026-05-01,2016188,2983
2026-05-01,2016192,2305
2026-05-01,2016217,2059
2026-05-01,2016255,46224
2026-05-01,2016256,43950
2026-05-01,2016261,9279
2026-05-01,2016262,5158
2026-05-01,2016264,2644
2026-05-01,2016271,418
2026-05-01,2016302,2856
2026-05-01,2016437,200
2026-05-01,2016438,601
2026-05-01,2016510,20380
2026-05-01,2016552,846
2026-05-01,2016553,1650
2026-05-01,2016557,944
2026-05-01,2016652,8091
2026-05-01,2016730,5000
2026-05-01,2016771,6745
2026-05-01,2016774,18156
2026-05-01,2016775,17400
2026-05-01,2016808,950
2026-05-01,2016879,3000
2026-05-01,2017149,18156
2026-05-01,2017150,17400
2026-05-01,2017205,16728
2026-05-01,2017206,15960
2026-05-01,2017294,45084
2026-05-01,2017295,43020
2026-05-01,2017363,27940
2026-05-01,2017387,9792
2026-05-01,2017388,9360
2026-05-01,2017393,148
2026-05-01,2017394,108
2026-05-01,2017401,9996
2026-05-01,2017402,9960
2026-05-01,2017403,9480
2026-05-01,2017409,16
2026-05-01,2017410,10
2026-05-01,2017413,32
2026-05-01,2017414,16
2026-05-01,2017464,8502
2026-05-01,2017491,3000
2026-05-01,2017501,6942
2026-05-01,2017502,187
2026-05-01,2017536,14
2026-05-01,2017556,14611
2026-05-01,2017557,12143
2026-05-01,2017558,26166
2026-05-01,2017559,39178
2026-05-01,2017560,52
2026-05-01,2017566,16
2026-05-01,2017569,70983
2026-05-01,2017570,629
2026-05-01,2017571,629
2026-05-01,2017579,9180
2026-05-01,2017580,8850
2026-05-01,2017591,32
2026-05-01,2017595,3000
2026-05-01,2017639,9384
2026-05-01,2017640,9480
2026-05-01,2017641,9480
2026-05-01,2017662,251
2026-05-01,2017685,17274
2026-05-01,2017710,2000
2026-05-01,2017732,17544
2026-05-01,2017733,17700
2026-05-01,2017743,1955
2026-05-01,2017891,33852
2026-05-01,2017892,16926
